seqname	dsDNAphage	NCLDV	RNA	ssDNA	lavidaviridae
896e91e9-2ce5-4da6-b17d-b942f8c6ffb9	0.947	0.473	0.100	0.493	0.507
f74f26f8-c549-4e31-b44b-0aa4dd7f7ebf	0.940	0.407	0.130	1.000	0.920
053cc8b4-c36f-48ae-9ab5-0a9f5ecdbb55	0.987	0.647	0.155	0.887	0.800
d9e19061-d2e0-47b4-bb08-8fed30a2f81a	0.933	0.587	0.395	0.193	0.573
066a8a3d-2f81-4cae-8a2d-9a6e8915820c	0.993	0.653	0.080	0.380	0.940
a426ead5-49e3-41a4-b7f8-1794cc84cc4b	0.913	0.367	0.450	0.920	0.780
60ae79bd-6c02-4414-b356-ab31b248d759	0.860	0.987	0.295	0.840	0.987
7d09c3fa-8958-457e-938b-f0c35681deb5	0.940	0.460	0.135	0.980	0.947
7f9bcd29-32e4-4bcb-ae7d-8c86cc39fc58	1.000	0.627	0.165	0.720	0.547
717d73f0-e1e9-494f-a79d-4b6d507a837a	0.973	0.653	0.180	0.947	0.840
11992eb7-602f-4986-965b-f8bfb3ccbfe1	0.493	0.540	1.000	0.353	0.627
f76ade7c-183d-4e62-9cc3-45182e193ef7	0.980	0.513	0.150	0.567	0.933
