436b2938-1721-4270-95fa-c5e97758c7d8_0001	NC_014760.1_0232	76.8	69	16	0	1	69	837	905	9.7e-26	107.5
436b2938-1721-4270-95fa-c5e97758c7d8_0002	NC_014760.1_0232	100.0	41	0	0	3	43	974	1014	1.3e-18	83.2
436b2938-1721-4270-95fa-c5e97758c7d8_0003	NC_014760.1_0234	89.5	95	10	0	1	95	1	95	3.0e-43	166.0
436b2938-1721-4270-95fa-c5e97758c7d8_0004	NC_014760.1_0235	100.0	113	0	0	1	113	292	404	4.1e-62	229.2
436b2938-1721-4270-95fa-c5e97758c7d8_0005	NC_014760.1_0235	100.0	40	0	0	3	42	249	288	5.1e-19	84.3
436b2938-1721-4270-95fa-c5e97758c7d8_0006	NC_014760.1_0235	94.4	54	3	0	1	54	145	198	6.6e-22	94.4
436b2938-1721-4270-95fa-c5e97758c7d8_0007	NC_014760.1_0824	94.3	53	3	0	1	53	7	59	2.1e-23	99.4
436b2938-1721-4270-95fa-c5e97758c7d8_0008	NC_014760.1_0236	100.0	46	0	0	1	46	1518	1563	2.5e-19	87.0
436b2938-1721-4270-95fa-c5e97758c7d8_0009	NC_014760.1_0236	93.3	45	3	0	1	45	1451	1495	1.0e-21	93.6
436b2938-1721-4270-95fa-c5e97758c7d8_0010	NC_014760.1_0236	100.0	45	0	0	1	45	1219	1263	1.8e-22	95.9
436b2938-1721-4270-95fa-c5e97758c7d8_0011	NC_014760.1_0236	100.0	130	0	0	1	130	788	917	4.1e-67	245.7
436b2938-1721-4270-95fa-c5e97758c7d8_0012	NC_014760.1_0236	100.0	59	0	0	4	62	522	580	6.0e-27	111.3
436b2938-1721-4270-95fa-c5e97758c7d8_0013	NC_014760.1_0236	85.9	78	11	0	2	79	446	523	6.6e-36	141.4
436b2938-1721-4270-95fa-c5e97758c7d8_0014	NC_014760.1_0236	94.5	91	5	0	27	117	355	445	1.4e-43	167.5
436b2938-1721-4270-95fa-c5e97758c7d8_0015	NC_014760.1_0236	97.1	35	1	0	1	35	278	312	1.7e-13	65.9
436b2938-1721-4270-95fa-c5e97758c7d8_0016	NC_014760.1_0236	100.0	52	0	0	1	52	1	52	5.2e-24	101.3
