seqname	dsDNAphage	NCLDV	RNA	ssDNA	lavidaviridae
91393bc1-d591-47f7-b6e4-9ad39d6b7338	0.973	0.713	0.325	0.973	0.967
21e9cb07-bf1c-4ef1-be06-7e524f952eee	0.247	0.240	0.585	0.607	0.160
cd556fa4-e4c3-4f73-88c3-259a8ca24fb1	0.180	0.547	0.130	0.153	0.413
f7eb1486-bdda-4fbd-8b17-ff5fc6bb8b01	0.987	0.573	0.115	0.927	0.413
d57d60a7-99ac-4c9e-bd32-4410b0e122e5	0.960	0.700	0.400	1.000	0.940
5ba8f1eb-818f-4011-96d6-cca625f5ea7e	0.813	0.260	0.275	0.880	0.500
95bc3097-6726-43d3-a90c-60287d634154	0.920	0.687	0.095	0.687	0.400
7bc40263-86b5-45d7-be70-b15c8fb9c104	0.973	0.433	0.215	0.753	0.627
84117773-db68-4d56-895a-3bd470c5187d	0.280	0.180	0.885	0.593	0.273
20c3da38-f66e-46c1-afcf-462ecd4469c3	0.353	0.767	0.195	0.620	1.000
12e2f021-b5da-4f17-896b-5463a9b1be52	0.993	0.413	0.315	0.927	0.813
4be79dc2-399f-4a2f-83ba-adfd73065282	0.727	0.553	0.465	0.913	0.633
820c51e1-71b1-4b6f-a54e-a19ca89759b3	0.947	0.747	0.035	0.880	0.673
b267f79c-d535-4382-82df-ed1aad3a2ac9	0.820	0.673	0.475	1.000	0.873
1f6ea2b5-ff15-4ba8-9e91-40c775426cb3	0.253	0.267	0.195	0.273	0.680
ab28babe-a615-4309-8f0b-7a3e532cefd8	0.967	0.873	0.120	0.933	0.340
084a01a0-a800-479a-82dd-9c31a44e7127	0.780	0.367	0.255	0.993	0.587
2da281a9-3a8c-4cfc-b69e-357b36fa005b	0.180	0.087	0.600	0.307	0.213
711d8875-91a7-4fee-b8a8-c80ff199dd29	0.787	0.807	0.405	0.987	0.927
5480ff93-e718-42e9-89b4-68d62c7a5d06	0.627	0.107	0.295	0.847	0.487
36631ab2-86b4-4fa2-bd4a-7515ac2424f8	0.707	0.853	0.175	0.893	0.967
8dd964ac-6c7e-4a3b-87ac-b6de5baf4fc5	0.780	0.107	0.390	0.927	0.233
ab2beced-260d-440e-abe4-953003e65085	0.913	0.827	0.215	0.853	0.960
279ebffa-30f8-47ce-8eff-a1df79c84bc7	0.107	0.040	0.485	0.447	0.507
0888900a-121b-41f9-a57f-9c0053180a29	0.180	0.773	0.610	0.673	0.907
a4b03caf-8ce4-4b84-a36d-3c93ab319a7a	0.993	0.633	0.145	0.960	0.633
ff6464c8-a23b-4b4d-ab49-bf24ada74e02	0.800	0.480	0.345	0.953	0.747
fb616bda-fe72-432b-bc3e-4c7eae6a5faf	0.887	0.500	0.245	0.980	0.500
e8df5a08-a811-4f36-9abb-116bfb1f09c6	0.133	0.640	0.500	0.533	0.733
ef1f00db-cb63-442e-a153-24c4224569d4	0.933	0.427	0.425	0.553	0.120
4d8af0c7-2d3a-4bf2-a857-ad92bfc14a4e	0.100	0.020	0.490	0.760	0.367
069e04da-bd41-4bf3-bd23-e87e2fb03a0a	0.993	0.207	0.295	0.567	0.733
1bdd73b6-5cd0-47a4-aaa6-f8d806690686	0.820	0.153	0.365	0.927	0.327
2216b00e-6476-4507-99f3-40d6a113205f	0.193	0.273	0.520	0.300	0.200
4fefb016-c914-4511-85c8-49818d28d50f	0.347	0.640	0.515	0.820	0.560
f2d4185c-62a3-423f-8c85-580f3bb7634b	0.947	0.873	0.185	0.947	0.927
db174e96-1aec-4df2-bfb1-8f9a34823cac	0.413	0.173	0.700	0.440	0.307
b1b38b6f-1059-443d-96df-db8682e4d5fc	0.320	0.473	0.330	0.567	0.760
fdae6de3-de23-45e1-9841-49d4d1534343	0.867	0.260	0.280	0.920	0.707
0575f48d-f7c1-4f37-905d-99764636b684	0.593	0.827	0.370	0.987	0.947
33343d3a-f8ed-4ecb-bce0-7adb64af5ab0	0.720	0.200	0.200	0.500	0.173
d1f41e09-b535-46ce-9fb1-4c373e24ecb7	0.927	0.740	0.430	0.967	0.733
77ceaf5f-ad2d-4e20-b1c6-171667107f50	0.853	0.127	0.565	0.587	0.233
e726d561-d63e-41ee-8363-8fcdea6d3bdb	0.993	0.747	0.230	0.740	0.647
bd83d374-cdd9-4938-b54f-52263e521a6d	0.987	0.513	0.355	0.853	0.720
1a722741-6c18-4724-9925-657d9e921aeb	0.993	0.860	0.235	0.987	0.487
a2a4f7dc-89ed-4d03-8ef3-a301efb45803	0.640	0.307	0.775	0.520	0.120
62b9e46f-7ec9-4b2d-83ac-8a6b86d3a474	0.933	0.700	0.250	0.820	0.900
d19b274d-5fa0-46f5-8153-0a2ae2af390b	0.807	0.887	0.220	0.980	0.913
8dc10f2f-0a50-4d53-9418-c6d68949a2d9	0.553	0.987	0.435	0.933	0.967
e50c1201-17e2-48be-844f-14efc9121578	1.000	0.287	0.585	0.773	0.820
9cffef46-7d31-4acd-8d41-d36852a209c8	0.827	0.433	0.360	0.947	0.633
f27a23f6-fc60-4b6e-8343-7a596f9105f8	0.960	0.693	0.195	1.000	0.680
75888679-aacc-4519-b3de-41abae3bfe10	0.980	0.367	0.405	0.907	0.867
8966929e-d5dd-4587-ad5c-cdc20bccdcca	0.767	0.253	0.415	0.973	0.467
7dce5976-a4fa-4712-a949-30c26ef96ff0	0.980	0.133	0.230	0.840	0.493
3581b04f-b3dc-4d76-9cd1-63e2ca426f31	0.767	0.393	0.545	0.967	0.900
56da11ab-15ad-42bf-bcc6-17e9ad24d168	0.840	0.293	0.305	0.953	0.647
c647e816-2dfb-4854-8aff-f76bdcc6bac3	0.807	0.907	0.135	0.993	0.893
a5028d02-7c23-4f82-96dc-eaea8caae095	0.533	0.373	0.680	0.847	0.567
9819cba0-be16-4f8d-8f54-23f6d265c24a	0.853	0.467	0.225	0.900	0.847
7f503313-adf9-4a8b-b8da-59d54af68a65	0.987	0.687	0.300	0.827	0.773
fed6e84a-b789-4760-bbdc-6c791137394c	1.000	0.593	0.065	0.273	0.460
9aadc722-28b2-4724-9949-7a15700441e1	0.580	0.960	0.440	0.773	0.940
0195085b-2f9b-46af-8018-a61ddcd815b9	0.967	0.413	0.430	0.680	0.733
